date,price
03.12.15,8852.139648
04.12.15,8802.889648
07.12.15,8825.280273
08.12.15,8701.200195
09.12.15,8624.950195
10.12.15,8632.629883
11.12.15,8502.05957
14.12.15,8375.30957
15.12.15,8581.55957
16.12.15,8604.080078
17.12.15,8656.299805
18.12.15,8608.910156
21.12.15,8544.349609
22.12.15,8515.820313
23.12.15,8705.740234
28.12.15,8739.360352
29.12.15,8883.009766
30.12.15,8818.089844
04.01.16,8656.30957
05.01.16,8701.459961
06.01.16,8613.419922
07.01.16,8449.860352
08.01.16,8257.280273
11.01.16,8213.519531
12.01.16,8332.040039
13.01.16,8414.830078
14.01.16,8305.469727
15.01.16,8107.129883
18.01.16,8099.080078
19.01.16,8223.759766
20.01.16,7966.339844
21.01.16,8035.060059
22.01.16,8271.110352
25.01.16,8253.339844
26.01.16,8314.469727
27.01.16,8322.679688
28.01.16,8153.27002
29.01.16,8319.80957
01.02.16,8310.990234
02.02.16,8196.990234
03.02.16,8123.740234
04.02.16,8003.399902
05.02.16,7960.129883
08.02.16,7759.209961
09.02.16,7583.27002
10.02.16,7731.930176
11.02.16,7496.620117
12.02.16,7656.600098
15.02.16,7848.330078
16.02.16,7813.790039
17.02.16,7946.189941
18.02.16,7916.609863
19.02.16,7863.359863
22.02.16,7961.490234
23.02.16,7807.009766
24.02.16,7689.560059
25.02.16,7794.049805
26.02.16,7877.029785
29.02.16,7843.629883
01.03.16,7962.220215
02.03.16,8039.890137
03.03.16,7950.839844
04.03.16,7982.569824
07.03.16,8019.129883
08.03.16,7971.149902
09.03.16,7975.810059
10.03.16,7893.660156
11.03.16,7998.430176
14.03.16,8018.359863
15.03.16,7953.930176
16.03.16,7916.430176
17.03.16,7861.790039
18.03.16,7813.680176
21.03.16,7849.569824
22.03.16,7853.069824
23.03.16,7894.359863
24.03.16,7775.580078
29.03.16,7797.649902
30.03.16,7845.080078
31.03.16,7807.890137
01.04.16,7688.339844
04.04.16,7731.810059
05.04.16,7673.669922
06.04.16,7768.22998
07.04.16,7761.350098
08.04.16,7817.549805
11.04.16,7751.580078
12.04.16,7788.779785
13.04.16,7934.459961
14.04.16,8021
15.04.16,8014.600098
18.04.16,8044.600098
19.04.16,8152.759766
20.04.16,8186.970215
21.04.16,8159.669922
22.04.16,8109.439941
25.04.16,8079.890137
26.04.16,8077.180176
27.04.16,8096.759766
28.04.16,8099.419922
29.04.16,7960.850098
02.05.16,7977.77002
03.05.16,7850.680176
04.05.16,7752.970215
06.05.16,7735.600098
09.05.16,7824.950195
10.05.16,7934.930176
11.05.16,7937.879883
12.05.16,7885.850098
13.05.16,7925.759766
17.05.16,7906.759766
18.05.16,7973.930176
19.05.16,7908.790039
20.05.16,7997.299805
23.05.16,8038.459961
24.05.16,8125.240234
25.05.16,8167.609863
26.05.16,8229.549805
27.05.16,8292.450195
30.05.16,8277.830078
31.05.16,8216.419922
01.06.16,8185.529785
02.06.16,8205.820313
03.06.16,8148.399902
06.06.16,8165.97998
07.06.16,8215.780273
08.06.16,8143.759766
09.06.16,8076.350098
10.06.16,7922.709961
13.06.16,7782.350098
14.06.16,7638.77002
15.06.16,7679.490234
16.06.16,7634.660156
17.06.16,7713.609863
20.06.16,7900.220215
21.06.16,7935.75
22.06.16,7972.140137
23.06.16,8023.049805
24.06.16,7747.180176
27.06.16,7594.490234
28.06.16,7773.799805
29.06.16,7978.959961
30.06.16,8020.149902
01.07.16,8085.209961
04.07.16,8056.709961
05.07.16,7941.669922
06.07.16,7898.209961
07.07.16,7964.22998
08.07.16,8037.939941
11.07.16,8117.109863
12.07.16,8143.129883
13.07.16,8142.330078
14.07.16,8174.02002
15.07.16,8156.259766
18.07.16,8161.600098
19.07.16,8111.47998
20.07.16,8197.429688
21.07.16,8182.450195
22.07.16,8194.730469
25.07.16,8194.410156
26.07.16,8227.200195
27.07.16,8221.330078
28.07.16,8095.069824
29.07.16,8127.200195
02.08.16,8011.240234
03.08.16,8010.100098
04.08.16,8081.140137
05.08.16,8194.339844
08.08.16,8168.839844
09.08.16,8229.419922
10.08.16,8208.900391
11.08.16,8296.139648
12.08.16,8295.040039
15.08.16,8305.280273
16.08.16,8215.450195
17.08.16,8153.799805
18.08.16,8189.72998
19.08.16,8127.279785
22.08.16,8157.850098
23.08.16,8201.610352
24.08.16,8199.830078
25.08.16,8141.279785
26.08.16,8168.319824
29.08.16,8184.089844
30.08.16,8236.009766
31.08.16,8202.129883
01.09.16,8142.640137
